Sub Department Group,Item (Code),Product Long Name (EN),Sub Department,Budget Class,Collection,Class,Fabric (Code),Group of Level Price (shortname),Is High,IS_X,IS_Y,SubDepartment_Macro,Size_1
W,37K,'483 1969 2258 3108 462 3748 3108 483 3363,ONF9R,Budget Class 1,Collection 1,Class 1,501.0,ATI,0,False,False,ONF9R,
W,W3I,'2258 1969 1085 2891 462 3748 3108 1085 2891 1077,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,36I,'2258 1969 2891 665 1965,A5TUU,Budget Class 1,Collection 1,Class 2,501.0,ATI,0,False,False,A5TUU,
W,680,'2258 397 1085 2891 462 3748 3108 1085 2891 2848 1465,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,0D2,'2258 397 1085 2891 2970 3748 3108 3071 1077 3108,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,MTI,0,False,False,ONF9R,
W,KO5,'2258 1915 1085 2891 462 3748 3108 1085 2891 1496,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,MTI,0,False,False,ONF9R,
W,J3I,'2258 1915 2135 462 3748 3108 2135 1077,ONF9R,Budget Class 2,Collection 2,Class 1,101.0,STI,0,False,False,ONF9R,
W,0HV,'2258 1969 1085 2891 462 3748 3108 1343 217,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,NSU,'2258 1969 1085 2891 462 3748 3108 462 49 3017,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,BWC,'2258 1969 1085 2891 462 3748 3108 462 1149 1303,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,CGS,'2258 1969 1085 2891 462 3748 3108 462 1149 1303,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,TIH,'2258 1969 1085 2891 462 3748 3108 462 3610 3160,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,QJP,'2258 1969 1085 2891 462 3748 3108 462 49 3017,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,AT0,'2258 1969 1085 2891 3108 462 3748 3108 462 1149 3011,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,YFI,'2258 1969 1085 2891 462 3748 3108 462 1149 1303,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,PCV,'2258 1969 1085 2891 1850 633 462 3748 3108 462,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,4H7,'2258 1969 1085 2891 1850 633 462 3748 3108 462,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,STI,0,False,False,ONF9R,
W,IGO,'2258 1969 2970 2891 492 2549 2542 894 633 2004,ONF9R,Budget Class 1,Collection 1,Class 1,201.0,MTI,0,False,False,ONF9R,
W,1VS,'2258 1969 2970 2891 492 2549 2542 894 633 2004,ONF9R,Budget Class 1,Collection 1,Class 1,201.0,MTI,0,False,False,ONF9R,
W,AW7,'2258 1969 2172 462 3748 3108 462 1475 2339 3160,ONF9R,Budget Class 1,Collection 1,Class 1,0.0,STI,0,False,False,ONF9R,
W,3WA,'397 1085 2891 3108 462 3748 3266 2281 1624 3071 1606,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,HX0,'397 1085 2891 3108 462 3748 3266 2281 1624 3071 1606,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,54K,'397 1085 2891 3108 462 3748 3266 2281 1624 3071 1606,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,9TB,'397 1085 2891 3108 462 3748 3266 2281 1624 3071 1606,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,3CH,'397 1085 2891 1850 633 3108 462 3748 3266 241,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,MTI,0,False,False,ONF9R,
W,HNP,'397 1085 2891 1850 633 3108 462 3748 3266 241,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,MTI,0,False,False,ONF9R,
W,WPG,'397 2970 2891 1850 633 2549 3108 462 3748,ONF9R,Budget Class 2,Collection 2,Class 1,201.0,MTI,0,False,False,ONF9R,
W,L3E,'397 2970 2891 1850 633 2549 3108 462 3748,ONF9R,Budget Class 2,Collection 2,Class 1,201.0,MTI,0,False,False,ONF9R,
W,NWO,'397 668 3108 462 3748 3266 668 893 3108 1465,ONF9R,Budget Class 2,Collection 2,Class 1,0.0,STI,0,False,False,ONF9R,
W,IYG,'1915 1085 2891 3108 462 3748 3108 462 3610 2523,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,KFJ,'1915 1085 2891 3108 462 3748 3108 462 49 3017 230,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,Y22,'1915 1085 2891 3108 462 3748 3108 462 2840 945,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,X7E,'1915 1085 2891 3108 462 3748 3108 462 1149 945,ONF9R,Budget Class 2,Collection 2,Class 1,202.0,STI,0,False,False,ONF9R,
W,5EH,'2258 1969 1085 2891 2283 2542 894 633 3334 1552 3108 1681,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,MTI,0,False,False,ONF9R,
W,MG0,'1969 1085 2891 1850 633 3108 462 3748 3108 1085 3475,ONF9R,Budget Class 1,Collection 1,Class 1,202.0,MTI,0,False,False,ONF9R,
W,7M0,'1915 2135 3108 462 3748 3108 462 3610 1093,ONF9R,Budget Class 2,Collection 2,Class 1,101.0,ATI,0,False,False,ONF9R,
W,22C,'1915 2135 3108 462 3748 3108 462 49 3017 2523,ONF9R,Budget Class 2,Collection 2,Class 1,101.0,ATI,0,False,False,ONF9R,
