Location (Code),Country,Zone (BR Vision),Network Type,POS Classification (Grp Level 1),IsOpen,isWholeSale,isWFJactive,Market_Network_Type
TVR,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
8MO,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
NYA,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
OMP,FRA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
46W,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
U1D,FRA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
BAJ,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
GTH,FRA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
A9Q,FRA,EMEA,Network Type1,POS Classification1,Closed,False,,Market_Network_Type2
8CM,UK,UK & Overseas,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
PO9,USA,US,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
0AK,FRA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
U8L,FRA,EMEA,Network Type1,POS Classification1,Closed,False,,Market_Network_Type2
OG7,FRA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
NOD,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
WQX,FRA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
CEQ,FRA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
010,GER,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
K97,GER,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
5F7,GER,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
XHQ,GER,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
VU5,AUS,ASIA,Network Type3,POS Classification3,Open,False,,Market_Network_Type4
GR5,UAE,EMEA,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
ZUC,USA,US,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
G9O,JAP,ASIA,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
GCN,UK,UK & Overseas,Network Type3,POS Classification3,Open,False,,Market_Network_Type4
M2X,SIN,ASIA,Network Type3,POS Classification3,Open,False,,Market_Network_Type5
4TB,UK,UK & Overseas,Network Type3,POS Classification3,Open,False,,Market_Network_Type5
JCI,USA,US,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
D4H,USA,US,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
T78,GER,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
LEA,ITA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
064,ITA,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
XSD,MON,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
02O,SPA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
A5A,SPA,EMEA,Network Type1,POS Classification1,Open,False,1.0,Market_Network_Type1
2VQ,SWI,EMEA,Network Type1,POS Classification1,Closed,False,,Market_Network_Type2
HRU,SWI,EMEA,Network Type1,POS Classification1,Closed,False,,Market_Network_Type2
WKT,SWI,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
RCL,SWI,EMEA,Network Type1,POS Classification1,Open,False,,Market_Network_Type2
ZJL,FRA,EMEA,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
2GM,USA,US,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
842,JAP,ASIA,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
3BX,UK,UK & Overseas,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
92F,ROM,EMEA,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
I5D,SIN,ASIA,Network Type3,POS Classification3,Open,False,,Market_Network_Type5
NAX,UK,UK & Overseas,Network Type3,POS Classification3,Open,False,,Market_Network_Type5
0G2,USA,US,Network Type2,POS Classification2,Open,True,,Market_Network_Type3
